personid,educ,cigpric,white,age,income,cigs,restaurn
1,16,60.506,1,46,20000,0,0
2,16,57.883,1,40,30000,0,0
3,12,57.664,1,58,30000,3,0
4,13.5,57.883,1,30,20000,0,0
5,10,58.32,1,17,20000,0,0
6,6,59.34,1,86,6500,0,0
7,12,57.883,1,35,20000,0,0
8,15,57.883,1,48,30000,0,0
9,12,59.195,1,48,20000,0,0
10,12,58.028,1,31,20000,0,0
11,13.5,57.883,1,27,30000,10,0
12,12,60.288,1,24,20000,20,0
13,10,57.883,1,71,8500,30,0
14,6,58.028,1,44,30000,0,0
15,16,60.746,1,22,30000,0,0
16,12,60.071,1,29,20000,20,0
17,12,60.282,1,33,20000,0,0
18,12,60.704,1,34,20000,30,0
19,13.5,59.86,1,30,8500,0,0
20,10,60.324,0,48,30000,20,0
21,6,59.045,1,61,5500,0,0
22,18,60.294,1,49,30000,0,0
23,12,59.045,1,33,20000,0,0
24,16,60.632,1,24,30000,0,1
25,16,61.744,1,36,30000,0,1
26,15,60.862,1,39,20000,12,1
27,18,61.399,1,38,30000,0,1
28,12,60.823,1,29,30000,30,1
29,18,62.012,1,23,12500,0,1
30,16,61.322,0,51,20000,0,1
31,13.5,62.089,1,28,20000,0,1
32,10,61.015,1,47,12500,30,1
33,10,62.489,1,80,12500,0,1
34,10,61.667,1,62,30000,2,1
35,10,62.012,1,51,12500,0,1
36,10,61.667,1,51,20000,35,1
37,12,61.053,1,69,12500,0,1
38,12,61.092,1,28,8500,0,1
39,18,61.974,1,38,20000,0,1
40,15,61.168,1,30,30000,0,1
41,18,60.862,1,32,30000,25,1
42,8,61.629,0,71,12500,0,1
43,10,62.489,1,18,20000,0,1
44,13.5,62.089,1,26,8500,15,1
45,10,61.744,1,30,20000,20,1
46,12,60.67,1,19,3500,0,1
47,12,61.168,1,19,6500,20,1
48,13.5,61.245,1,21,1500,0,1
49,16,62.089,1,44,20000,0,1
50,10,60.555,1,69,30000,30,1
51,16,60.555,1,53,20000,0,1
52,8,62.241,1,53,12500,20,1
53,6,61.705,1,38,6500,10,1
54,10,60.555,1,49,30000,20,1
55,18,61.437,1,24,20000,0,1
56,16,61.322,1,57,8500,0,1
57,15,61.168,1,28,20000,0,1
